rc,nbonds,nbeads,frac_bonds_on,beadind_p_diff,beadind_nl_diff,beadind_p_sums,beadind_nl_sums,s_bias,p_bonds,nl_bonds,structure_id
1.5,10,46,0.3,0.260869565,3.413043478,0.97826087,2.369565217,-10.81279927,"[[10, 14], [14, 18], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.260869565,3.413043478,0.934782609,2.369565217,-10.87357926,"[[6, 10], [22, 26], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.260869565,3.413043478,1.326086957,2.369565217,-10.88357914,"[[6, 10], [10, 14], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.260869565,3.413043478,0.586956522,2.369565217,-10.89465415,"[[14, 18], [22, 26], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.304347826,3.413043478,0.52173913,2.369565217,-10.96814529,"[[10, 14], [16, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.304347826,3.413043478,0.695652174,2.369565217,-10.98973924,"[[6, 10], [16, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.260869565,3.413043478,0.760869565,2.369565217,-10.99077345,"[[10, 14], [22, 26], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.260869565,3.413043478,1.369565217,2.369565217,-11.0601737,"[[6, 10], [10, 14], [14, 18]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.260869565,3.413043478,0.804347826,2.369565217,-11.07102158,"[[10, 14], [14, 18], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.304347826,3.413043478,0.304347826,2.369565217,-11.57944526,"[[16, 26], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.782608696,3.413043478,0.260869565,2.369565217,-12.77766687,"[[2, 34], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.695652174,3.413043478,0.260869565,2.369565217,-12.80299623,"[[4, 32], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.695652174,3.413043478,0.652173913,2.369565217,-12.82436377,"[[4, 32], [10, 14]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.739130435,3.413043478,0.652173913,2.369565217,-12.85147324,"[[3, 33], [10, 14]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.782608696,3.413043478,0.652173913,2.369565217,-12.85560066,"[[2, 34], [10, 14]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.695652174,3.413043478,0.47826087,2.369565217,-12.85824175,"[[4, 32], [14, 18]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.782608696,3.413043478,0.47826087,2.369565217,-12.85957206,"[[2, 34], [14, 18]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.782608696,3.413043478,0.826086957,2.369565217,-12.90253007,"[[2, 34], [6, 10]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.739130435,3.413043478,0.260869565,2.369565217,-12.92017205,"[[3, 33], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.782608696,3.413043478,0.434782609,2.369565217,-12.93252137,"[[2, 34], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.739130435,3.413043478,0.47826087,2.369565217,-12.93325155,"[[3, 33], [14, 18]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.695652174,3.413043478,0.826086957,2.369565217,-12.94885883,"[[4, 32], [6, 10]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.739130435,3.413043478,0.826086957,2.369565217,-12.98311431,"[[3, 33], [6, 10]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.739130435,3.413043478,0.434782609,2.369565217,-13.00574122,"[[3, 33], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.695652174,3.413043478,0.434782609,2.369565217,-13.02277963,"[[4, 32], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.891304348,3.413043478,0.108695652,2.369565217,-13.19380901,"[[3, 40], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.891304348,3.413043478,0.673913043,2.369565217,-13.21808018,"[[3, 40], [6, 10]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.891304348,3.413043478,0.282608696,2.369565217,-13.22061248,"[[3, 40], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.891304348,3.413043478,0.5,2.369565217,-13.23412987,"[[3, 40], [10, 14]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.891304348,3.413043478,0.326086957,2.369565217,-13.26933539,"[[3, 40], [14, 18]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,1.260869565,3.413043478,0.391304348,2.369565217,-13.2944624,"[[3, 33], [4, 32]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,1.347826087,3.413043478,0.391304348,2.369565217,-13.35747165,"[[2, 34], [3, 33]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,1.304347826,3.413043478,0.391304348,2.369565217,-13.59632483,"[[2, 34], [4, 32]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.391304348,3.413043478,0.413043478,2.369565217,-13.86464085,"[[14, 18], [16, 26], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.391304348,3.413043478,0.760869565,2.369565217,-14.01143246,"[[6, 10], [16, 26], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.391304348,3.413043478,0.586956522,2.369565217,-14.14691739,"[[10, 14], [16, 26], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.391304348,3.413043478,0.97826087,2.369565217,-14.29092415,"[[6, 10], [14, 18], [16, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.391304348,3.413043478,0.804347826,2.369565217,-14.43870152,"[[10, 14], [14, 18], [16, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.4,0.347826087,3.413043478,1.217391304,2.369565217,-14.44466018,"[[6, 10], [14, 18], [22, 26], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.4,0.347826087,3.413043478,1.391304348,2.369565217,-14.64997421,"[[6, 10], [10, 14], [22, 26], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.4,0.347826087,3.413043478,1.608695652,2.369565217,-14.79299571,"[[6, 10], [10, 14], [14, 18], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.4,0.347826087,3.413043478,1.434782609,2.369565217,-14.79878791,"[[6, 10], [10, 14], [14, 18], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
