rc,nbonds,nbeads,frac_bonds_on,beadind_p_diff,beadind_nl_diff,beadind_p_sums,beadind_nl_sums,s_bias,p_bonds,nl_bonds,structure_id
1.6,9,46,0.8888888888888888,1.3478260869565217,1.4130434782608696,3.0434782608695654,3.8695652173913047,-36.799294487020326,"[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.8888888888888888,1.3043478260869565,1.4130434782608696,3.0434782608695654,3.8695652173913047,-34.774443164846254,"[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [40, 43]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.8888888888888888,1.326086956521739,1.4130434782608696,3.195652173913043,3.8695652173913047,-34.91294409372504,"[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [39, 44], [40, 43]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.8888888888888888,1.326086956521739,1.4130434782608696,3.3695652173913047,3.8695652173913047,-34.402210966131044,"[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [36, 40], [39, 44], [40, 43]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.8888888888888888,1.326086956521739,1.4130434782608696,3.717391304347826,3.8695652173913047,-35.412010923406434,"[[4, 16], [7, 32], [16, 20], [20, 24], [32, 36], [36, 40], [39, 44], [40, 43]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.8888888888888888,1.326086956521739,1.4130434782608696,3.8478260869565224,3.8695652173913047,-35.323579088231874,"[[4, 16], [7, 32], [16, 20], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.8888888888888888,1.326086956521739,1.4130434782608696,3.6739130434782608,3.8695652173913047,-35.0595452938288,"[[4, 16], [7, 32], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.8888888888888888,0.8695652173913043,1.4130434782608696,3.7391304347826093,3.8695652173913047,-29.716440454503847,"[[4, 16], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.8888888888888888,1.1521739130434783,1.4130434782608696,3.3260869565217392,3.8695652173913047,-31.330201402685,"[[7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.7777777777777778,1.2391304347826086,1.4130434782608696,2.217391304347826,3.8695652173913047,-32.9732204232424,"[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.7777777777777778,1.2608695652173914,1.4130434782608696,2.369565217391304,3.8695652173913047,-33.323843077203584,"[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [39, 44]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.7777777777777778,1.2173913043478262,1.4130434782608696,2.369565217391304,3.8695652173913047,-31.00348247625525,"[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [40, 43]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.7777777777777778,1.2608695652173914,1.4130434782608696,2.5434782608695654,3.8695652173913047,-32.60375191309149,"[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [36, 40], [39, 44]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.7777777777777778,1.2173913043478262,1.4130434782608696,2.5434782608695654,3.8695652173913047,-30.525822058698488,"[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [36, 40], [40, 43]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.7777777777777778,1.2391304347826086,1.4130434782608696,2.695652173913043,3.8695652173913047,-31.322145119687868,"[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [39, 44], [40, 43]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
1.6,9,46,0.7777777777777778,1.2608695652173914,1.4130434782608696,2.891304347826087,3.8695652173913047,-33.835797623178316,"[[4, 16], [7, 32], [16, 20], [20, 24], [32, 36], [36, 40], [39, 44]]","[[4, 16], [7, 32], [16, 20], [20, 24], [24, 28], [32, 36], [36, 40], [39, 44], [40, 43]]",train_9_v1_8
