state i bits,state j bits,layer,inner fpt,outer fpt
0000000000,0100000000,0,0.014730226826768267,308.74478859273916
0000000000,0000001000,0,0.018096643609794884,3.0787709658870566
0000000000,0010000000,0,0.01460666827967053,403.6733341512007
0000000000,0000000001,0,0.0175380612261447,3.3058751660422563
0000000000,0000100000,0,0.016773089113420268,3.251923295879451
0000000000,0000010000,0,0.017743777621092045,3.2337814909947227
0000000000,0000000010,0,0.017523383588337573,3.429999425884515
0000000000,1000000000,0,0.01405645169317511,351.683580183186
0000000000,0001000000,0,0.014810637571840106,290.14076736719574
0000000000,0000000100,0,0.01431263738655662,56.05876130534181
0000010000,0000011000,1,0.01625227784647853,3.5667133728447005
0000000100,0000000110,1,0.0159901099271602,2.031101223916444
0000000001,0010000001,1,0.014102043422731341,393.71136809609465
0000010000,0100010000,1,0.01455773786174732,285.54286226063607
0000000100,0000010100,1,0.0163461813045294,3.6562320604740406
0001000000,1001000000,1,0.016440551918474516,6.446488392931308
0000001000,0100001000,1,0.014191865167843144,284.2092318417831
1000000000,1010000000,1,0.015134421183864086,41.44442212578846
0000000010,0001000010,1,0.014071613504098402,267.38117948631754
0000000010,1000000010,1,0.014725877820265703,315.84713621486407
1000000000,1000001000,1,0.016892452388566636,3.0383473068560547
1000000000,1100000000,1,0.01648022748597623,3.905745804330326
0000001000,0010001000,1,0.013998595386019242,378.2830132199558
0010000000,0110000000,1,0.013376832307279679,38.3498065265911
0010000000,0010001000,1,0.017211878420730995,3.15863954293933
0000000010,0000000110,1,0.014031131489907051,35.64429214488333
0000000100,0000000101,1,0.015732682274430167,5.447510202300547
0000000100,0000100100,1,0.016727235212847788,3.3287513236063346
0001000000,0001000100,1,0.014360684361739822,32.20655888409659
0000000001,0000001001,1,0.01807372095961671,3.20916965827614
0000010000,0010010000,1,0.01432748400778094,368.92086398791497
0000000001,0100000001,1,0.014464441403300997,301.65080287199396
0000000010,0000100010,1,0.017062960781279928,3.073182270099383
0001000000,0001000001,1,0.01605208360546811,3.0323248540450547
0001000000,0001100000,1,0.01689021262664281,3.029488520662213
