bits,s_bias
0000000000,49.29780231430417
0000000001,45.96446001075563
0000000010,45.69952109493906
0000000011,41.90775249032747
0000000100,41.94326436746688
0000000101,37.65094671533221
0000000110,38.87742993547803
0000000111,34.07999393599374
0000001000,45.88824955366907
0000001001,42.29547620642753
0000001010,42.22283637438501
0000001011,38.42495007344655
0000001100,38.54961254454795
0000001101,34.39967173394704
0000001110,35.487656381016684
0000001111,30.944925359884895
0000010000,45.792079054741635
0000010001,42.19247434678532
0000010010,42.343646997497196
0000010011,38.368905145213716
0000010100,38.30685804599807
0000010101,33.90887481314796
0000010110,35.118571071965356
0000010111,30.38939258257548
0000011000,41.86380770490283
0000011001,38.44988716102783
0000011010,38.37958768265588
0000011011,34.565685311953224
0000011100,34.7321418546495
0000011101,30.63307965993881
0000011110,31.66164733171463
0000011111,26.950831059614814
0000100000,45.78108681383587
0000100001,42.229664864994234
0000100010,42.33563252715837
0000100011,38.38607467185883
0000100100,38.43451251217297
0000100101,34.079611959343865
0000100110,35.2918410323915
0000100111,30.561356095472973
0000101000,42.230736299355826
0000101001,38.63211899598439
0000101010,38.65969274441401
0000101011,34.95055313507716
0000101100,35.007039806956335
0000101101,30.822258722782134
0000101110,32.024973122278844
0000101111,27.54618586699168
0000110000,41.81437411847568
0000110001,38.412749153091795
0000110010,38.401462080932795
0000110011,34.59291333357492
0000110100,34.42883968920935
0000110101,30.006586869557697
0000110110,31.230771275361377
0000110111,26.406354395548497
0000111000,37.844540827047254
0000111001,34.37496896982193
0000111010,34.4466726342837
0000111011,30.604211823145544
0000111100,30.722149046262107
0000111101,26.64194827079773
0000111110,27.78952552874883
0000111111,23.144678990046184
0001000000,39.902573058434896
0001000001,36.394749033167244
0001000010,36.46734860113689
0001000011,32.71859906571252
0001000100,33.47645085539137
0001000101,29.136070288362955
0001000110,30.296176480679286
0001000111,25.38868038256963
0001001000,36.49248558424768
0001001001,32.99798571495783
0001001010,33.063915333861395
0001001011,29.377397358417507
0001001100,29.864559889407385
0001001101,25.87462887763977
0001001110,26.762056450049077
0001001111,22.165944321950274
0001010000,36.52316102385521
0001010001,32.9708167552948
0001010010,33.099603394099645
0001010011,29.216821086406707
0001010100,30.123574086030327
0001010101,25.85632520119349
0001010110,26.923426731427508
0001010111,22.137578022480007
0001011000,32.89238351072584
0001011001,29.43835301001867
0001011010,29.544103455543517
0001011011,25.941937828063963
0001011100,26.10726028283437
0001011101,22.163974090417224
0001011110,22.99190498193105
0001011111,18.52911607424418
0001100000,36.39588940342267
0001100001,32.791914001532966
0001100010,32.92992329654239
0001100011,29.146726842721304
0001100100,30.18222470680872
0001100101,25.984605228900907
0001100110,26.968767527739203
0001100111,22.15596553881963
0001101000,32.98913224311102
0001101001,29.50135250488917
0001101010,29.628586045900978
0001101011,25.98511884212494
0001101100,26.59341056744258
0001101101,22.63733763297399
0001101110,23.460162421067555
0001101111,18.949621856212616
0001110000,32.748831798916775
0001110001,29.087820367018384
0001110010,29.339847779273985
0001110011,25.69264612197876
0001110100,26.60713417132696
0001110101,22.82525682846705
0001110110,23.359691524505614
0001110111,19.01069802045822
0001111000,28.922405580679577
